 BARRAS;PRODUCTO;COSTO
0000077900098;OFF KIDS CREMA X 90;21.532
0000077929778;LYSOFORM x 55 AERO POCKET CLASICO;9.571
0000077931276;OFF REPEL CREMA x 90 Extra Duraciòn;21.532
6001298008123;ZIPLOC MULTI-PACK X9U;9.206
7501032905521;GLADE REFRESH AIR MONTANA      ;22.779
7501032905538;GLADE REFRESH AIR MANANTIAL   ;22.779
7501032905545;GLADE REFRESH AIR CITRICA        ;22.779
7501032905552;GLADE REFRESH AIR MANZANA     ;22.779
7501032920142;GLADE AUTO FULL ACQUA ;33.605
7790463001005;BRILLO PARA LAMPAZOS x 1L;12.764
7790520000026;GLADE AUTO FULL MAÑ DE CAMPO;33.605
7790520000064;GLADE AUTO REP M CAMPO;30.107
7790520000125;BLEM  x  200 CREMA JAZMIN;8.975
7790520000149;BLEM  x  200 CREMA;8.975
7790520000156;BLEM  x  200 CREMA LAVANDA;8.975
7790520000255;GLADE ACEITE REP HARMONY;32.061
7790520000293;GLADE TOQUE FULL HARMONY;16.543
7790520000309;GLADE TOQUE REP HARMONY;10.809
7790520000323;MM MULTIUSO GATILLO x 500;14.520
7790520000330;RAID ESPIRALES VERDE 4x12x4;1.933
7790520000347;RAID ESPIRALES VERDE x 12;5.831
7790520000354;RAID ESPIRALES COUNTRY FRESH x 12 ;6.864
7790520000378;FUYI ESP VERDE EST 4x12x4;2.225
7790520000385;FUYI ESPIRALES VERDE x 12;6.699
7790520000392;FUYI ESP LAVANDA x 12;8.110
7790520000446;LYSOFORM x 360 AERO LAVANDA;16.627
7790520000521;GLADE CNA LIQ  FULL I LOVE YOU;20.657
7790520000538;GLADE CAN.LIQ. REP. I LOVE YOU;17.712
7790520000552;M MUS DISCOS ACTIVOS FULL MARINA;22.182
7790520000576;M MUS DISCOS ACTIVOS RPTO CITRICA;17.811
7790520000590;M MUS DISCOS ACTIVOS RPTO MARINA;17.811
7790520000781;RAID TAB LARGA DUR  X 72;47.140
7790520000798;ZIPLOC POTE HERMETICO 600 x 1;16.019
7790520000804;ZIPLOC POTE HERMETICO 900 x 1;16.692
7790520000835;MM GLADE LIMP LIQ x 4000 LAVANDA;32.361
7790520000842;MM GLADE LIMP LIQ x 4000 HARMONY;32.361
7790520000903;MM GLADE LIMP LIQ x 4000 FLORAL PERFEC;32.361
7790520000910;RAID MATA HORMIGAS AERO;21.522
7790520000927;RAID HORMIGAS LIQUIDO GATILLO;31.175
7790520000934;RAID HORMIGAS LIQUIDO REP;19.483
7790520000941;RAID HORMIGAS POLVO X 250;19.878
7790520000972;GLADE ACEITE REP VAINILLA;32.061
7790520001009;MM GLADE LIMP LIQ x 900 LAVANDA;8.462
7790520001016;MM GLADE LIMP LIQ x 900 PINO;8.462
7790520001023;MM GLADE LIMP LIQ x 900 FLORAL PERF;8.462
7790520001054;MM GLADE LIMP LIQ x 900 HARMONY;8.462
7790520001061;MM GLADE LIMP LIQ x 900 MAÑ DE CAMPO;8.462
7790520001078;MM GLADE LIMP LIQ x 900 I LOVE YOU;8.462
7790520001085;MM GLADE LIMP LIQ x 900 BEBE;8.462
7790520001115;MM GLADE LIMP LIQ x 1800 LAVANDA;15.381
7790520001122;MM GLADE LIMP LIQ x 4000 MAÑ CAMPO;32.361
7790520001139;MM GLADE LIMP LIQ x 1800 PINO;15.381
7790520001146;MM GLADE LIMP LIQ x 1800 FLORAL PERF;15.381
7790520001221;MR MUSCULO CREMA x 450 LAVANDA;9.832
7790520001245;MR MUSCULO CREMA x 450 CITRUS;9.832
7790520001252;MR MUSCULO CREMA x 450 M CAMPO;9.832
7790520001337;OFF AEROSOL PROT. INTENS. X 165;31.181
7790520001344;GLADE TOQUE FULL C DE BEBE;16.543
7790520001368;LYSOFORM PAÑOS x 35u;14.120
7790520001399;GLADE SENSE SPRAY FULL M CAMPO;99.877
7790520001412;GLADE SENSE SPRAY REP M CAMPO;37.669
7790520001436;GLADE SENSE SPRAY REP LINO FRESCO;37.669
7790520001481;GLADE SENSE SPRAY REP LAV y VAIN;37.669
7790520001566;GLADE SENSE SPRAY REP FLORAL;37.669
