BARRAS;PRODUCTO;COSTO
0000077900098;OFF KIDS CREMA X 90;12.452
0000077929778;LYSOFORM x 55 AERO POCKET CLASICO;6.378
0000077931276;OFF REPEL CREMA x 90 Extra Duraciïn;12.452
6001298008123;ZIPLOC MULTI-PACK X9U;5.974
7501032905521;GLADE REFRESH AIR MONTANA      ;14.906
7501032905538;GLADE REFRESH AIR MANANTIAL   ;14.906
7501032905545;GLADE REFRESH AIR CITRICA        ;14.906
7501032905552;GLADE REFRESH AIR MANZANA     ;14.906
7501032920142;GLADE AUTO FULL ACQUA ;22.208
7790463001005;BRILLO PARA LAMPAZOS x 1L;7.223
7790520000026;GLADE AUTO FULL MA• DE CAMPO;22.208
7790520000064;GLADE AUTO REP M CAMPO;19.898
7790520000125;BLEM  x  200 CREMA JAZMIN;5.987
7790520000156;BLEM  x  200 CREMA;5.987
7790520000156;BLEM  x  200 CREMA LAVANDA;5.987
7790520000255;GLADE ACEITE REP HARMONY;19.951
7790520000293;GLADE TOQUE FULL HARMONY;9.266
7790520000309;GLADE TOQUE REP HARMONY;5.918
7790520000323;MM MULTIUSO GATILLO x 500;9.135
7790520000330;RAID ESPIRALES VERDE 4x12x4;1.127
7790520000347;RAID ESPIRALES VERDE x 12;3.400
7790520000354;RAID ESPIRALES COUNTRY FRESH x 12 ;4.003
7790520000378;FUYI ESP VERDE EST 4x12x4;1.348
7790520000385;FUYI ESPIRALES VERDE x 12;4.058
7790520000392;FUYI ESP LAVANDA x 12;4.729
7790520000446;LYSOFORM x 360 AERO LAVANDA;10.260
7790520000521;GLADE CNA LIQ  FULL I LOVE YOU;12.641
7790520000538;GLADE CAN.LIQ. REP. I LOVE YOU;10.839
7790520000552;M MUS DISCOS ACTIVOS FULL MARINA;14.663
7790520000576;M MUS DISCOS ACTIVOS RPTO CITRICA;11.773
7790520000590;M MUS DISCOS ACTIVOS RPTO MARINA;11.773
7790520000781;RAID TAB LARGA DUR  X 72;30.547
7790520000798;ZIPLOC POTE HERMETICO 600 x 1;10.395
7790520000804;ZIPLOC POTE HERMETICO 900 x 1;10.831
7790520000835;MM GLADE LIMP LIQ x 4000 LAVANDA;18.638
7790520000842;MM GLADE LIMP LIQ x 4000 HARMONY;18.638
7790520000903;MM GLADE LIMP LIQ x 4000 FLORAL PERFEC;18.638
7790520000910;RAID MATA HORMIGAS AERO;13.830
7790520000927;RAID HORMIGAS LIQUIDO GATILLO;20.032
7790520000934;RAID HORMIGAS LIQUIDO REP;12.520
7790520000941;RAID HORMIGAS POLVO X 250;12.773
7790520000972;GLADE ACEITE REP VAINILLA;19.951
7790520001009;MM GLADE LIMP LIQ x 900 LAVANDA;4.874
7790520001016;MM GLADE LIMP LIQ x 900 PINO;4.874
7790520001023;MM GLADE LIMP LIQ x 900 FLORAL PERF;4.874
7790520001054;MM GLADE LIMP LIQ x 900 HARMONY;4.874
7790520001061;MM GLADE LIMP LIQ x 900 MA• DE CAMPO;4.874
7790520001078;MM GLADE LIMP LIQ x 900 I LOVE YOU;4.874
7790520001085;MM GLADE LIMP LIQ x 900 BEBE;4.874
7790520001115;MM GLADE LIMP LIQ x 1800 LAVANDA;8.858
