BARRA;PRODUCTO;COSTO;PRECIO
7791337574014;Actimel Entero Pack 600 GrVainilla;11.012;15.99
7791337574021;Actimel Entero Pack 600 GrFrutilla;11.012;15.99
7791337574120;Actimel Entero Pack 600 GrNatural;11.012;15.99
7791337574854;Actimel Entero Pack 600 GrMultifruta;11.012;15.99
7791337566026;Actimel 0% Pack 600 GrFrutilla;11.012;15.99
7791337566491;Actimel 0% Pack 600 GrF.Bosque;11.012;15.99
7791337566859;Actimel 0% Pack 600 GrMultifruta;11.012;15.99
7791337414853;Actimel Pack 1200 GrMultifruta;20.172;29.29
7791337166011;Vidacol Pack 320 GrVainilla;10.875;15.79
7791337166028;Vidacol Pack 320 GrFrutilla;10.875;15.79
7791337166851;Vidacol Pack 320 GrMultifruta;10.875;15.79
7791337614857;Vidacol Pack x 480GrMultifruta;13.567;19.70
7791337222151;Activia Bebible Bot 185GManza-Ciruela;4.764;6.80
7791337222212;Activia Bebible Bot 185GPera-Kiwi;4.764;6.80
7791337229761;Activia Sachet 1100GrManzana-Frutilla;11.130;15.50
7791337229402;Activia Sachet 1100GrAnan -Durazno;11.130;15.50
7791337229815;Activia Sachet 1100GrCiruela;11.130;15.50
7791337425026;Activia Batido Entero Pack 500 GRFrutilla;9.360;13.59
7791337425125;Activia Batido Entero Pack 500 GRNatural;9.360;13.59
7791337425811;Activia Batido Entero Pack 500 GRCiruela;9.360;13.59
7791337455818;Activia Sachet 700 GrCiruela;7.540;10.50
7791337537026;Activia 0% Pack x 4 500GrFutilla;9.360;13.59
7791337537811;Activia 0% Pack x 4 500GrCiruela;9.360;13.59
7791337510296;Activia Fibrabalance Pack 500 GrMuesli;9.360;13.59
7791337371002;Queso Crema Casancrem Pote 300GQueso Crema;10.158;14.75
7791337372009;Queso Blanco Casancrem Diet Pote 300GQueso Crema;10.503;15.25
77925800;Queso Crema Casancrem Pote 150GQueso Crema;5.991;8.75
77925909;Queso Blanco Casancrem Diet Pote 150GQueso Crema;5.991;8.75
7791337000650;Casancrem Clasico Pote 500 Gr Queso Crema;15.152;22.00
7791337000711;Casancrem Light Pote 500 Gr Queso Crema;15.558;22.59
7793940192005;Leche Sab Cindor Brik 1L-;4.312;6.00
7791337892071;Leche Cindor Extra Sabor  1L-;8.803;12.25
7791337612075;Copa Cindor pote 100 grChocolate;4.136;6.00
7793940198007;Leche Sab Cindor Brik 250Cm3-;5.154;7.49
7791337273061;Postre Danette Pack x 2 230 GrDulce De Leche;6.192;8.99
7791337273078;Postre Danette Pack x 2 230 GrChocolate;6.192;8.99
7791337273900;Postre Danette Pack x 2 230 GrCrema Americana;6.192;8.99
7791337273467;Postre Danette Pack x 2 230 GrBanana Split;6.192;8.99
7791337273344;Postre Danette Pack x 2 230 GrDulce De Leche c/Coco;6.192;8.99
