 BARRAS;PRODUCTO;COSTO
0000077900098;OFF KIDS CREMA X 90;18.633
0000077929778;LYSOFORM x 55 AERO POCKET CLASICO;8.282
0000077931276;OFF REPEL CREMA x 90 Extra Duraciïn;18.633
6001298008123;ZIPLOC MULTI-PACK X9U;7.822
7501032905521;GLADE REFRESH AIR MONTANA      ;19.353
7501032905538;GLADE REFRESH AIR MANANTIAL   ;19.353
7501032905545;GLADE REFRESH AIR CITRICA        ;19.353
7501032905552;GLADE REFRESH AIR MANZANA     ;19.353
7501032920142;GLADE AUTO FULL ACQUA ;29.081
7790463001005;BRILLO PARA LAMPAZOS x 1L;9.205
7790520000026;GLADE AUTO FULL MA• DE CAMPO;29.081
7790520000064;GLADE AUTO REP M CAMPO;26.053
7790520000125;BLEM  x  200 CREMA JAZMIN;7.695
7790520000156;BLEM  x  200 CREMA;7.695
7790520000156;BLEM  x  200 CREMA LAVANDA;7.695
7790520000255;GLADE ACEITE REP HARMONY;23.513
7790520000293;GLADE TOQUE FULL HARMONY;14.315
7790520000309;GLADE TOQUE REP HARMONY;9.354
7790520000323;MM MULTIUSO GATILLO x 500;12.565
7790520000330;RAID ESPIRALES VERDE 4x12x4;1.807
7790520000347;RAID ESPIRALES VERDE x 12;5.449
7790520000354;RAID ESPIRALES COUNTRY FRESH x 12 ;6.415
7790520000378;FUYI ESP VERDE EST 4x12x4;2.080
7790520000385;FUYI ESPIRALES VERDE x 12;6.261
7790520000392;FUYI ESP LAVANDA x 12;7.580
7790520000446;LYSOFORM x 360 AERO LAVANDA;14.388
7790520000521;GLADE CNA LIQ  FULL I LOVE YOU;17.876
7790520000538;GLADE CAN.LIQ. REP. I LOVE YOU;15.327
7790520000552;M MUS DISCOS ACTIVOS FULL MARINA;18.846
7790520000576;M MUS DISCOS ACTIVOS RPTO CITRICA;0.000
7790520000590;M MUS DISCOS ACTIVOS RPTO MARINA;15.132
7790520000781;RAID TAB LARGA DUR  X 72;40.793
7790520000798;ZIPLOC POTE HERMETICO 600 x 1;13.610
7790520000804;ZIPLOC POTE HERMETICO 900 x 1;14.182
7790520000835;MM GLADE LIMP LIQ x 4000 LAVANDA;28.004
7790520000842;MM GLADE LIMP LIQ x 4000 HARMONY;28.004
7790520000903;MM GLADE LIMP LIQ x 4000 FLORAL PERFEC;28.004
7790520000910;RAID MATA HORMIGAS AERO;18.624
7790520000927;RAID HORMIGAS LIQUIDO GATILLO;26.977
7790520000934;RAID HORMIGAS LIQUIDO REP;16.860
7790520000941;RAID HORMIGAS POLVO X 250;17.201
7790520000972;GLADE ACEITE REP VAINILLA;23.513
7790520001009;MM GLADE LIMP LIQ x 900 LAVANDA;7.323
7790520001016;MM GLADE LIMP LIQ x 900 PINO;7.323
7790520001023;MM GLADE LIMP LIQ x 900 FLORAL PERF;7.323
7790520001054;MM GLADE LIMP LIQ x 900 HARMONY;7.323
7790520001061;MM GLADE LIMP LIQ x 900 MA• DE CAMPO;7.323
7790520001078;MM GLADE LIMP LIQ x 900 I LOVE YOU;7.323
7790520001085;MM GLADE LIMP LIQ x 900 BEBE;7.323
7790520001115;MM GLADE LIMP LIQ x 1800 LAVANDA;13.311
7790520001122;MM GLADE LIMP LIQ x 4000 MA• CAMPO;28.004
7790520001139;MM GLADE LIMP LIQ x 1800 PINO;13.311
7790520001146;MM GLADE LIMP LIQ x 1800 FLORAL PERF;13.311
7790520001221;MR MUSCULO CREMA x 450 LAVANDA;8.508
7790520001245;MR MUSCULO CREMA x 450 CITRUS;8.508
7790520001252;MR MUSCULO CREMA x 450 M CAMPO;8.508
7790520001337;OFF AEROSOL PROT. INTENS. X 165;26.982
7790520001344;GLADE TOQUE FULL C DE BEBE;14.315
7790520001368;LYSOFORM PA•OS x 35u;12.219
7790520001399;GLADE SENSE SPRAY FULL M CAMPO;86.429
7790520001412;GLADE SENSE SPRAY REP M CAMPO;32.597
7790520001436;GLADE SENSE SPRAY REP LINO FRESCO;32.597
7790520001481;GLADE SENSE SPRAY REP LAV y VAIN;32.597
7790520001566;GLADE SENSE SPRAY REP FLORAL;32.597
7790520001598;GLADE ULTRA HARMONY;10.622
7790520001603;OFF REPEL SPRAY STD BP x 200 E DURAC;30.592
7790520001611;GLADE ULTRA MA•ANA DE CAMPO;10.622
7790520001740;GLADE AUTO REP FLORAL FRESH;26.053
7790520001764;GLADE AUTO REP NEUTRALIZADOR;26.053
7790520001771;GLADE AUTO REP ATTRACTION;26.053
7790520001801;GLADE ACEITE REP MANZANA Y CANELA;23.513
7790520001856;GLADE ACEITE REP MIX (SPA+I LOVE Y);23.509
7790520002013;BRISHINE x  250 CREMA;4.409
7790520002044;GLADE SENSATIONS CAR FULL M CA;30.089
7790520002068;GLADE SENSATIONS CAR FULL NECT;30.089
7790520002082;GLADE AUTO FULL F PERFECTION;29.081
7790520002112;GLADE AUTO REP FLORAL PERFECTION;26.053
7790520002136;GLADE SENSATIONS REP FLORAL P;18.118
7790520002150;GLADE GLASS SENSAT FULL FLORAL PE;30.441
7790520002167;GLADE ACEITE FULL FLORAL PERFECTION;28.375
7790520002174;GLADE ACEITE REP FLORAL PERFECTION;23.513
7790520002303;OFF REPEL CREMA x200 ;15.637
7790520002358;GLADE ACEITE REP LAVANDA;23.513
7790520002365;GLADE ACEITE REP MA•ANA DE CAMPO;23.513
7790520002402;OFF REPEL SPRAY STD BP x 200;23.398
7790520002549;M MUS BLOQUE MOCHILA TWIN x 96G;17.124
7790520003355;BLEM PISOS PLASTIFICADOS  DP;9.913
7790520003379;RAID TAB LARGA DUR X  24 FRESCH;14.191
7790520003676;GLADE SENSATIONS REP I LOVE YOU;18.118
7790520004055;GLADE SENSATIONS REP M CAMPO;18.118
7790520004079;GLADE AUTOMATICO FULL MANZANA;117.414
7790520004086;GLADE AUTOMATICO REP LAVANDA;39.836
7790520004093;GLADE AUTOMATICO REP HAW. BRE;39.836
7790520004109;GLADE AUTOMATICO REP ALGOD‡N;39.836
7790520004147;GLADE AUTOMATICO REP MANZANA;39.836
7790520004208;GLADE SENSATIONS REP PARAISO AZUL;18.118
7790520004215;GLADE SENSE SPRAY REP PARAISO AZ;32.597
7790520004222;GLADE AUTO REP PARAISO AZUL;26.053
7790520004239;GLADE ACEITE REP PARAISO AZUL;23.513
7790520004307;BLEM  x 235 AERO ELECTRONICX;15.321
7790520004376;RAID 45 NOCHES REPUESTO ;26.778
7790520004383;RAID 45 NOCHES APARATO + REPUES;30.138
7790520004406;FUYI  45 N. APARATO;31.042
7790520004413;FUYI  45 N. REPUESTO;27.581
7790520004437;GLADE x 360 AERO PARAISO AZUL;7.933
7790520004437;GLADE TOQUE REP PARAISO AZUL;9.354
7790520004482;GLADE ESENCIAS FLORAL;19.355
7790520004499;GLADE ESENCIAS PRIMAVERA;19.355
7790520004505;GLADE ESENCIAS BRISA DEL MAR;19.355
7790520004567;GLADE SENSATIONS BA•O FULL HARMO;27.398
7790520004574;GLADE SENSATIONS BA•O FULL LAVAN;27.398
7790520004741;FUYI TABLETAS 4x20x16;10.362
7790520004758;FUYI TABLETAS 4X20X28;17.848
7790520005168;MR MUSCULO CREMA x 450 FLORAL P;8.508
7790520005298;MM GLADE LIMP LIQ x 900 PARAI AZUL;7.323
7790520005311;MM GLADE LIMP LIQ x 1800 PARAI AZU;13.311
7790520005588;GLADE X 360 AERO NARANJA Y ESP;0.000
7790520005595;GLADE X 360 AERO CALIDEZ HOGAR;0.000
7790520005618;GLADE TOQUE REP NARANJA Y ESP;9.354
7790520005625;GLADE TOQUE REP CALIDEZ HOGAR;9.354
7790520005632;GLADE ACEITE REP NARANJA Y ESPE;0.000
7790520005649;GLADE ACEITE REP CALIDEZ HOGAR;0.000
7790520005939;M MUS ADHESIVO 30 gr MA• CAMPO;5.922
7790520006059;"RAID 45 NOCHES ADVANCE FULL ""NUEVO""";49.103
7790520007711;RAID MMM DOBLE ACCION x 400ML;17.158
7790520007810;FUYI MMM AEROSOL x 400;11.124
7790520009050;BLEM PISOS PLASTIFICADOS DP FLORAL;9.913
7790520010520;RAID EXTERMINADOR  AERO x 400;13.650
7790520011732;RAID ANTIPOL. CONTINUO PERCHA x 2 Uni;20.441
7790520011770;RAID ANTIPOLILLA x 400;20.315
7790520018021;BLEM CERA  P/MAD.  x 900 UNIVERSAL;27.216
7790520018038;BLEM CERA  P/MAD.  x 900 R CLARO;27.216
7790520018045;BLEM CERA  P/MAD.  x 900 R OSCURO;27.216
7790520030047;RAID MATAPULGAS AERO x 400;41.905
7790520145208;RAID TAB AP MAZDA S/CABLE;16.653
7790520146205;FUYI  APAR C/ CABLE ;41.791
7790520150509;MM GEL LIMPIADOR C/ LAVAND.x 500;12.941
7790520155047;MM MULTIUSO D PACK x 500;5.669
7790520155246;MM ANTIG  COCINA D PACK x 500 ;3.572
7790520155450;RAID TAB LARGA DUR  X 24;14.191
7790520155702;RAID TAB LARGA DUR  X 12;7.158
7790520161055;OFF AEROSOL x 165;20.145
7790520161918;FUYI TABLETAS 10 x 120;75.746
7790520200303;KLARO  AEROSOL x 400;14.238
7790520200716;KLARO  GATILLO x 500;21.310
7790520200723;KLARO  REPUESTO x 500;9.995
7790520221001;ECHO  x 2L TRADICIONAL;36.660
7790520222701;ECHO  x 5L TRADICIONAL;61.208
7790520270733;GLO COT CERA P/MADERA NATURAL;20.147
7790520508485;RAID MMM x 400CM3;14.038
7790520508607;RAID MMM SIN OLOR;17.502
7790520550507;MM MULTIUSO REPUESTO x 500;9.003
7790520552006;MM ANTIG. COCINA GATILLO x 500;10.004
7790520552501;MM ANTIG. COCINA  REPUESTO x 500;7.313
7790520552808;MM CANASTA LIQ. AP. MARINA x 55CC;16.761
7790520552815;MM CANASTA LIQ. REP. MARINA x 55CC;14.328
7790520552839;MM CANASTA LIQ. REP. PINO x 55CC;14.328
7790520552877;GLADE CAN.LIQ. FULL LAVANDA ;17.876
7790520552891;GLADE CAN.LIQ. REP. LAVANDA;15.327
7790520802170;ZIPLOC C/CIERRE DENT GDE 27x28x5U;7.822
7790520803405;ZIPLOC FILM REPUESTO x 10 MTS.;10.180
7790520972200;GLADE TOQUE FULL LAVANDA;14.315
7790520972255;GLADE TOQUE REP. LAVANDA;9.354
7790520981882;LYSOFORM CAN LIQ P/ INOD RPTO.;14.478
7790520981936;BLEM  x 400 AERO MARRON;18.478
7790520981967;MM LIMPIAHORNOS AERO x 400ML;16.377
7790520981974;BRISHINE x  400 AEROSOL;10.599
