BARRAS;PRODUCTO;COSTO;PRECIO
7791337537026 ;Actimel Entero Pack 600 Gr Vainilla;13.767;19.99
7791337537811 ;Actimel Entero Pack 600 Gr Frutilla;13.767;19.99
7791337942523 ;Actimel Entero Pack 600 Gr Natural;13.767;19.99
7791337942585 ;Actimel Entero Pack 600 Gr Multifruta;13.767;19.99
7791337942516 ;Actimel 0% Pack 600 Gr Frutilla;14.456;20.99
7791337922211 ;Actimel 0% Pack 600 Gr F.Bosque;14.456;20.99
7791337922976 ;Actimel 0% Pack 600 Gr Multifruta;14.456;20.99
7791337922983 ;Vidacol Pack 320 Gr Vainilla;13.767;19.99
7791337092532 ;Vidacol Pack 320 Gr Frutilla;13.767;19.99
7791337092532 ;Vidacol Pack 320 Gr Multifruta;13.767;19.99
7791337094550 ;Activia Bebible Bot 185G Manza-Ciruela;6.06;8.65
7791337951099 ;Activia Bebible Bot 185G Pera-Kiwi;6.06;8.65
7791337002685 ;Activia Sachet 700 Gr Ciruela;8.078;11.25
7791337002234 ;Activia 0% Pack x 4 500Gr Futilla;11.701;16.99
7791337371002 ;Activia 0% Pack x 4 500Gr Ciruela;11.701;16.99
7791337120204;Activia Entero Pack 500 Gr Frutilla;11.701;16.99
7791337120204;Activia Entero Pack 500 Gr Ciruela;11.701;16.99
7791337372009 ;Activia Entero Pack 500 Gr Natural;11.701;16.99
7791337012035;Activia Bebible Bot 185G Manzana-Ciruela;6.059;8.65
7791337012035;Activia Sachet 1100Gr Frutilla-Manzana;13.636;18.99
7791337000650 ;Activia Sachet 1100Gr Ciruela;13.636;18.99
7791337011304 ;Activia Entero Pack 250 Gr Frutilla;5.158;7.49
7791337011304 ;Activia Entero Pack 250 Gr Frutilla;6.371;9.25
7791337011311 ;Activia Sachet 700 Gr Frutilla-Manzana;9.041;12.59
7791337011311 ;Activia Fibrabalance Pack 500 Gr Muesli;11.701;16.99
7791337000711 ;Activia con colchon pote 180 gr Mango-Papaya-Maracuya;6.223;8.99
7793940192005 ;Activia con colchon Frut y cereal pote 180 gr Cereales fibras y miel;6.569;9.49
7791337892071 ;Queso Crema Casancrem Pote 300G Queso Crema;11.701;16.99
7793940198007 ;Queso Crema Casancrem Pote 300 Gr entero Queso Crema;11.702;16.99
7791337273061 ;Queso Crema Casancrem Pote 300 Gr entero Queso Crema;12.39;17.99
7791337273078 ;Queso Blanco Casancrem Diet Pote 300G Queso Crema;12.045;17.49
7791337273900 ;Queso Crema Casancrem Pote 300 Gr Light Queso Crema;12.045;17.49
7791337273467 ;Queso Crema Casancrem Pote 300 Gr Light Queso Crema;12.734;18.49
7791337273344 ;Casancrem Clasico Pote 500 Gr  Queso Crema;17.211;24.99
7791337273962 ;Queso crema Casancrem Pote 500 gr entero Queso Crema;18.933;27.49
7791337184015 ;Queso crema Casancrem Pote 500 gr entero Queso Crema;19.277;27.99
7791337930001 ;Queso crema Casancrem Pote 500 gr light Queso Crema;19.69;28.59
7791337930070 ;Queso crema Casancrem Pote 500 gr light Queso Crema;19.69;28.59
