 BARRAS;PRODUCTO;COSTO;
0000077900098;OFF KIDS CREMA X 90;21.317
0000077929778;LYSOFORM x 55 AERO POCKET CLASICO;9.475;
0000077931276;OFF REPEL CREMA x 90 Extra Duraciòn;21.317;
6001298008123;ZIPLOC MULTI-PACK X9U;9.114;
7501032905521;GLADE REFRESH AIR MONTANA      ;22.551;
7501032905538;GLADE REFRESH AIR MANANTIAL   ;22.551;
7501032905545;GLADE REFRESH AIR CITRICA        ;22.551;
7501032905552;GLADE REFRESH AIR MANZANA     ;22.551;
7501032920142;GLADE AUTO FULL ACQUA ;33.269;
7790463001005;BRILLO PARA LAMPAZOS x 1L;12.636;
7790520000026;GLADE AUTO FULL MAÑ DE CAMPO;33.269;
7790520000064;GLADE AUTO REP M CAMPO;29.806;
7790520000125;BLEM  x  200 CREMA JAZMIN;8.885;
7790520000149;BLEM  x  200 CREMA;8.885;
7790520000156;BLEM  x  200 CREMA LAVANDA;8.885;
7790520000255;GLADE ACEITE REP HARMONY;31.741;
7790520000293;GLADE TOQUE FULL HARMONY;16.377;
7790520000309;GLADE TOQUE REP HARMONY;10.701;
7790520000323;MM MULTIUSO GATILLO x 500;14.375;
7790520000330;RAID ESPIRALES VERDE 4x12x4;1.914;
7790520000347;RAID ESPIRALES VERDE x 12;5.772;
7790520000354;RAID ESPIRALES COUNTRY FRESH x 12 ;6.796;
7790520000378;FUYI ESP VERDE EST 4x12x4;2.203;
7790520000385;FUYI ESPIRALES VERDE x 12;6.632;
7790520000392;FUYI ESP LAVANDA x 12;8.029;
7790520000446;LYSOFORM x 360 AERO LAVANDA;16.461;
7790520000521;GLADE CNA LIQ  FULL I LOVE YOU;20.451;
7790520000538;GLADE CAN.LIQ. REP. I LOVE YOU;17.535;
7790520000552;M MUS DISCOS ACTIVOS FULL MARINA;21.961;
7790520000576;M MUS DISCOS ACTIVOS RPTO CITRICA;17.633;
7790520000590;M MUS DISCOS ACTIVOS RPTO MARINA;17.633;
7790520000781;RAID TAB LARGA DUR  X 72;46.668;
7790520000798;ZIPLOC POTE HERMETICO 600 x 1;15.859;
7790520000804;ZIPLOC POTE HERMETICO 900 x 1;16.525;
7790520000835;MM GLADE LIMP LIQ x 4000 LAVANDA;32.038;
7790520000842;MM GLADE LIMP LIQ x 4000 HARMONY;32.038;
7790520000903;MM GLADE LIMP LIQ x 4000 FLORAL PERFEC;32.038;
7790520000910;RAID MATA HORMIGAS AERO;21.307;
7790520000927;RAID HORMIGAS LIQUIDO GATILLO;30.863;
7790520000934;RAID HORMIGAS LIQUIDO REP;19.289;
7790520000941;RAID HORMIGAS POLVO X 250;19.679;
7790520000972;GLADE ACEITE REP VAINILLA;31.741;
7790520001009;MM GLADE LIMP LIQ x 900 LAVANDA;8.378;
7790520001016;MM GLADE LIMP LIQ x 900 PINO;8.378;
7790520001023;MM GLADE LIMP LIQ x 900 FLORAL PERF;8.378;
7790520001054;MM GLADE LIMP LIQ x 900 HARMONY;8.378;
7790520001061;MM GLADE LIMP LIQ x 900 MAÑ DE CAMPO;8.378;
7790520001078;MM GLADE LIMP LIQ x 900 I LOVE YOU;8.378;
7790520001085;MM GLADE LIMP LIQ x 900 BEBE;8.378;
7790520001115;MM GLADE LIMP LIQ x 1800 LAVANDA;15.228;
7790520001122;MM GLADE LIMP LIQ x 4000 MAÑ CAMPO;32.038;
7790520001139;MM GLADE LIMP LIQ x 1800 PINO;15.228;
7790520001146;MM GLADE LIMP LIQ x 1800 FLORAL PERF;15.228;
7790520001221;MR MUSCULO CREMA x 450 LAVANDA;9.734;
7790520001245;MR MUSCULO CREMA x 450 CITRUS;9.734;
7790520001252;MR MUSCULO CREMA x 450 M CAMPO;9.734;
7790520001337;OFF AEROSOL PROT. INTENS. X 165;30.869;
7790520001344;GLADE TOQUE FULL C DE BEBE;16.377;
7790520001368;LYSOFORM PAÑOS x 35u;13.979;
