BARRAS;PRODUCTOS;COSTO;PRECIO
7791337574014;Actimel Entero Pack 600 Gr Vainilla;15.696;22.79
7791337574021;Actimel Entero Pack 600 Gr Frutilla;15.696;22.79
7791337574120;Actimel Entero Pack 600 Gr Natural;15.696;22.79
7791337574854;Actimel Entero Pack 600 Gr Multifruta;15.696;22.79
7791337957411;Actimel Entero Pack 600 Gr Vainilla;15.696;22.79
7791337957428;Actimel Entero Pack 600 Gr Frutilla;15.696;22.79
7791337957459;Actimel Entero Pack 600 Gr Natural;15.696;22.79
7791337957480;Actimel Entero Pack 600 Gr Multifruta;15.696;22.79
7791337566026;Actimel 0% Pack 600 Gr Frutilla;16.494;23.95
7791337566859;Actimel 0% Pack 600 Gr Multifruta;16.494;23.95
7791337956629;Actimel 0% Pack 600 Gr Frutilla;16.494;23.95
7791337956681;Actimel 0% Pack 600 Gr Multifruta;16.494;23.95
7791337166011;Vidacol Pack 320 Gr Vainilla;15.696;22.79
7791337166028;Vidacol Pack 320 Gr Frutilla;15.696;22.79
7791337166851;Vidacol Pack 320 Gr Multifruta;15.696;22.79
7791337222212;Activia Bebible Bot 185G Pera-Kiwi;6.478;9.25
7791337455818;Activia Sachet 700 Gr Ciruela;8.826;12.29
7791337537811;Activia 0% Pack x 4 500Gr Ciruela;13.079;18.99
7791337942523;Activia Entero Pack 500 Gr Frutilla;13.079;18.99
7791337942585;Activia Entero Pack 500 Gr Ciruela;13.079;18.99
7791337942516;Activia Entero Pack 500 Gr Natural;13.079;18.99
7791337922211;Activia Bebible Bot 185G Manzana-Ciruela;6.48;9.25
7791337922976;Activia Sachet 1100Gr Frutilla-Manzana;13.636;18.99
7791337922976;Activia Sachet 1100Gr Frutilla-Manzana;14.614;20.35
7791337922983;Activia Sachet 1100Gr Ciruela;13.636;18.99
7791337922983;Activia Sachet 1100Gr Ciruela;14.613;20.35
7791337092532;Activia Entero Pack 250 Gr Frutilla;6.371;9.25
7791337094550;Activia Sachet 700 Gr Frutilla-Manzana;9.041;12.59
7791337094550;Activia Sachet 700 Gr Frutilla-Manzana;9.688;13.49
7791337951099;Activia Fibrabalance Pack 500 Gr Muesli;13.079;18.99
7791337002685;Activia con colchon pote 180 gr Mango-Papaya-Maracuya;7.261;10.49
7791337002234;Activia con colchon Frut y cereal pote 180 gr Cereales fibras y miel;7.607;10.99
7791337120204;Queso Crema Casancrem Pote 300 Gr entero Queso Crema;12.913;18.75
7791337372009;Queso Blanco Casancrem Diet Pote 300G Queso Crema;13.604;19.75
7791337012035;Queso Crema Casancrem Pote 300 Gr Light Queso Crema;13.602;19.75
7791337011304;Queso crema Casancrem Pote 500 gr entero Queso Crema;19.8;28.75
7791337011311;Queso crema Casancrem Pote 500 gr light Queso Crema;20.654;29.99
7793940192005;Leche Sab Cindor Brik 1L -;4.614;6.42
7791337892071;Leche Cindor Extra Sabor  1L -;11.851;16.49
7793940198007;Leche Sab Cindor Brik 250Cm3 -;7.563;10.99
7791337273061;Postre Danette Pack x 2 230 Gr Dulce De Leche;8.093;11.75
7791337273078;Postre Danette Pack x 2 230 Gr Chocolate;8.093;11.75
7791337273900;Postre Danette Pack x 2 230 Gr Crema Americana;8.093;11.75
7791337273467;Postre Danette Pack x 2 230 Gr Banana Split;8.093;11.75
