 BARRAS;PRODUCTO;COSTO
7790520981936;BLEM  x 400 AERO MARRON;10.72616785
7790520984357;BLEM  x 400 AERO NARANJA;10.72616785
7790520987297;BLEM  x 400 AERO LAVANDA;10.72616785
7790520000156;BLEM  x  200 CREMA;5.9866945
7790520000156;BLEM  x  200 CREMA LAVANDA;5.9866945
7790520000125;BLEM  x  200 CREMA JAZMIN;5.9866945
7790520981974;BRISHINE x  400 AEROSOL;8.3150825
7790520002013;BRISHINE x  250 CREMA;3.362311
7790520200303;KLARO  AEROSOL x 400;8.274682
7790520200716;KLARO  GATILLO x 500;13.1581955
7790520200723;KLARO  REPUESTO x 500;6.170558
7790520982278;KLARO REPUESTO DOY PACK x 500;2.285514
7790520984630;KLARO REPUESTO DOY PACK x 900;5.7030665
7790520986382;ECHO  x 500  D PACK;3.0992955
7790520221001;ECHO  x 1L TRADICIONAL;10.4175575
7790520986610;ECHO  x 1L LAVANDA;10.4175575
7790520221001;ECHO  x 2L TRADICIONAL;20.0361745
7790520222701;ECHO  x 5L TRADICIONAL;47.618173
7790520986627;ECHO LISTO  x 1L LAVANDA;7.966319
7790520986634;ECHO LISTO  x 1L FLORAL;7.966319
7790520986641;ECHO LISTO  x 1L NARANJA;7.966319
7790520270733;GLO COT CERA P/MADERA NATURAL;15.6745695
7790520018021;BLEM CERA  P/MAD.  x 900 UNIVERSAL;19.910026
7790520018038;BLEM CERA  P/MAD.  x 900 R CLARO;19.910026
7790520018045;BLEM CERA  P/MAD.  x 900 R OSCURO;19.910026
7790520986689;BLEM  x 1L  ACRILICO;25.490242
7790520986429;BLEM  x 450 D PACK ROJO;7.33720901
7790520986405;BLEM  x 450 D PACK INCOLORO;7.33720901
7790520988997;BLEM  x 450 D PACK FLORAL;7.33720901
7790520986658;BLEM  x 1L INCOLORO;14.64729197
7790520989000;BLEM  x 1L FLORAL;14.64729197
7790520982056;BLEM  x 5L BIDON INCOLORO;68.6552905
7790520986665;BLEM  x 1L ROJO;14.64729197
7790520982001;BLEM  x 2L INCOLORO;31.725111
7790520986672;BLEM  x 1L NEGRO;14.64729197
7790520986702;BLEM  x 1L REVOLUTION;22.000958
7790520986467;BLEM  x 500 D PACK REVOLUTION;12.5002445
7790520986443;CERAMICOL  x 500 D PACK ;5.50766
7790520986726;CERAMICOL  x 1L INCOLORO;9.8189705
7790520986733;CERAMICOL  x 1L ROJO;9.8189705
7790520986740;CERAMICOL  x 1L NEGRO;9.8189705
7790463001005;BRILLO PARA LAMPAZOS x 1L;7.22262
7790520986481;LYSOFORM  x 450 D PACK ORIGINAL;4.18361194
7790520986504;LYSOFORM .x 450 D PACK BEBE;4.18361194
7790520986542;LYSOFORM  x 450 D PACK CITRICA;4.18361194
7790520987457;LYSOFORM .x 450 D PACK LAVANDA;4.18361194
7790520987464;LYSOFORM  x 450 D PACK  A MONTA•A;4.18361194
7790520987440;LYSOFORM  x 800 D PACK ORIGINAL;7.3768015
7790520987433;LYSOFORM  x 900 ORIGINAL BOTELLA;7.90608103
7790520986757;BLEM PISOS PLASTIFICADOS x 1L;11.34512
7790520003355;BLEM PISOS PLASTIFICADOS  DP;5.8959995
7790520001009;MM GLADE LIMP LIQ x 900 LAVANDA;4.096116
7790520001016;MM GLADE LIMP LIQ x 900 PINO;4.096116
7790520001023;MM GLADE LIMP LIQ x 900 FLORAL PERF;4.096116
7790520001054;MM GLADE LIMP LIQ x 900 HARMONY;4.096116
7790520001061;MM GLADE LIMP LIQ x 900 MA• DE CAMPO;4.096116
7790520001078;MM GLADE LIMP LIQ x 900 I LOVE YOU;4.096116
7790520001085;MM GLADE LIMP LIQ x 900 BEBE;4.096116
7790520001115;MM GLADE LIMP LIQ x 1800 LAVANDA;7.4444105
7790520001139;MM GLADE LIMP LIQ x 1800 PINO;7.4444105
7790520001146;MM GLADE LIMP LIQ x 1800 FLORAL PERF;7.4444105
7790520000835;MM GLADE LIMP LIQ x 4000 LAVANDA;15.662202
7790520000903;MM GLADE LIMP LIQ x 4000 FLORAL PERFEC;15.662202
7790520000842;MM GLADE LIMP LIQ x 4000 HARMONY;15.662202
7790520001122;MM GLADE LIMP LIQ x 4000 MA• CAMPO;15.662202
7790520802170;ZIPLOC C/CIERRE DENT GDE 27x28x5U;5.974327
7790520985323;ZIPLOC C/CIERRE DENT. PEQ. 18X20CM X8U;5.974327
7790520985323;ZIPLOC CIERRE DESLIZ GRANDES X 4 U;5.974327
7790520985330;ZIPLOC CIERRE DESLIZ PEQ X 6 U;5.974327
6001298008123;ZIPLOC MULTI-PACK X9U;5.974327
7790520984418;ZIPLOC S/CIERRE GDE. 25X35CM X20U;5.974327
7790520984401;ZIPLOC S/CIERRE E-GDE. 35X57CM X10U;5.974327
7790520803405;ZIPLOC FILM REPUESTO x 10 MTS.;7.7742105
7790520000798;ZIPLOC POTE HERMETICO 600 x 1;10.395296
7790520000804;ZIPLOC POTE HERMETICO 900 x 1;10.830632
7790520985750;GLADE  x 360 AERO CAM DE JAZMIN;5.8943505
7790520985743;GLADE  x 360 AERO LAVANDA;5.1555985
7790520986764;GLADE  x 360 AERO SPA;5.1555985
7790520985811;GLADE  x 360 AERO ANTITABACO;5.8943505
7790520985798;GLADE x 360 AERO CA DE ALGODON;5.1555985
7790520985804;GLADE x 360 AERO CARICIAS DE BEBE ;5.1555985
7790520985781;GLADE x 360 AERO I LOVE YOU ;5.8943505
7790520987389;GLADE x 360 AERO B DE LAS CUMBRES ;5.8943505
7790520988430;GLADE x 360 AERO MA•A DE CAMPO;5.8943505
7790520988454;GLADE x 360 AERO POTPURRI;5.8943505
7790520989277;GLADE x 360 AERO HARMONY;5.8943505
7790520989413;GLADE x 360 AERO FLORAL PERFECTION;5.8943505
7790520989369;GLADE x 360 AERO ROCIO;5.8943505
7790520002891;GLADE x 360 AERO TE VERDE Y LIRIOS;5.8943505
7790520004437;GLADE x 360 AERO PARAISO AZUL;5.8943505
7790520005588;GLADE X 360 AERO NARANJA Y ESP;6.188697
7790520005596;GLADE X 360 AERO CALIDEZ HOGAR;6.188697
7501032916084;GLADE NATURE INFUSIONS FLORAL;14.9061355
7501032916114;GLADE NATURE INFUSIONS PRIMAVERA;14.9061355
7501032916121;GLADE NATURE INFUSIONS BRISA DEL MAR;14.9061355
7501032905521;GLADE REFRESH AIR MONTANA       NUEVO;14.9061355
7501032905538;GLADE REFRESH AIR MANANTIAL    NUEVO;14.9061355
7501032905545;GLADE REFRESH AIR CITRICA          NUEVO;14.9061355
7501032905552;GLADE REFRESH AIR MANZANA       NUEVO;14.9061355
7790520986788;LYSOFORM x 360 AERO CLASICO;10.260078
7790520986795;LYSOFORM x 360 AERO AIRE DE MONTANA;10.260078
7790520986801;LYSOFORM x 360 AERO BEBE;10.260078
7790520000446;LYSOFORM x 360 AERO LAVANDA;10.260078
7790520985941;LYSOFORM x 327 AERO CITRICO;9.9657315
0000077929778;LYSOFORM x 55 AERO POCKET CLASICO;6.378332
7790520001598;GLADE ULTRA HARMONY;8.3332215
7790520985485;GLADE ULTRA CAMPOS DE LAVANDA;8.3332215
7790520001611;GLADE ULTRA MA•ANA DE CAMPO;8.3332215
7790520985515;GLADE ULTRA SPA x 120;8.3332215
7790520995508;GLADE ULTRA I LOVE YOU x 120;8.3332215
7790520988300;GLADE ACEITE FULL MIX (MC-VA-HAR);24.078698
7790520002167;GLADE ACEITE FULL FLORAL PERFECTION;24.078698
7790520002174;GLADE ACEITE REP FLORAL PERFECTION;19.951251
7790520000255;GLADE ACEITE REP HARMONY;19.951251
7790520001856;GLADE ACEITE REP MIX (SPA+I LOVE Y);19.951251
7790520002365;GLADE ACEITE REP MA•ANA DE CAMPO;19.951251
7790520001801;GLADE ACEITE REP MANZANA Y CANELA;19.951251
7790520002358;GLADE ACEITE REP LAVANDA;19.951251
7790520000972;GLADE ACEITE REP VAINILLA;19.951251
7790520004239;GLADE ACEITE REP PARAISO AZUL;19.951251
7790520005632;GLADE ACEITE REP NARANJA Y ESPE;20.948896
7790520005649;GLADE ACEITE REP CALIDEZ HOGAR;20.948896
7790520000293;GLADE TOQUE FULL HARMONY;10.2955315
7790520972200;GLADE TOQUE FULL LAVANDA;10.2955315
7790520001344;GLADE TOQUE FULL C DE BEBE;10.2955315
7790520989420;GLADE TOQUE FULL FLORAL PERFECTION;10.2955315
7790520985163;GLADE TOQUE FULL COCINA (T&F CITRIC);10.2955315
7790520988003;GLADE TOQUE FULL MA•ANA DE CAMPO;10.2955315
7790520972255;GLADE TOQUE REP. LAVANDA;6.7254465
7790520989437;GLADE TOQUE REP FLORAL PERFECTION;6.7254465
7790520982261;GLADE TOQUE REP. BEBE;6.7254465
7790520986146;GLADE TOQUE REP. I LOVE YOU;6.7254465
7790520986139;GLADE TOQUE REP. SPA;6.7254465
7790520987426;GLADE TOQUE REP. BRISA  DE LAS CUMBRES;6.7254465
7790520988010;GLADE TOQUE REP. MA•ANA DE CAMPO;6.7254465
7790520985170;GLADE TOQUE REP COCINA (T&F CITRIC);6.7254465
7790520988478;GLADE TOQUE REP POTPOURRI ;6.7254465
7790520000309;GLADE TOQUE REP HARMONY;6.7254465
7790520002914;GLADE TOQUE REP TE VERDE Y LIRIOS;0
7790520004437;GLADE TOQUE REP PARAISO AZUL;6.7254465
7790520005618;GLADE TOQUE REP NARANJA Y ESP;7.0618425
7790520005625;GLADE TOQUE REP CALIDEZ HOGAR;7.0618425
7790520988461;GLADE TOQUE REP TWIN PACK POTPOURRI;11.429219
7790520985019;GLADE TOQUE REP TWIN PACK LAVANDA;11.429219
7790520989451;GLADE SENSATIONS ELECTRIC M CAMPO;22.0298155
7790520989468;GLADE SENSATIONS ELECTRIC N FLORES;22.0298155
7790520002150;GLADE GLASS SENSAT FULL FLORAL PE;21.9325245
7790520989246;GLADE GLASS SCENTS FULL HARMONY;21.9325245
7790520989222;GLADE SENSATIONS REP HARMONY;11.628748
7790520002136;GLADE SENSATIONS REP FLORAL P;11.628748
7790520004055;GLADE SENSATIONS REP M CAMPO;11.628748
7790520989239;GLADE SENSATIONS REP LAVANDA;11.628748
7790520987617;GLADE SENSATIONS REP ALGOD‡N;11.628748
7790520989215;GLADE SENSATIONS REP NECTAR FLORES;11.628748
7790520003676;GLADE SENSATIONS REP I LOVE YOU;11.628748
7790520002044;GLADE SENSATIONS CAR FULL M CA;22.9796395
7790520002068;GLADE SENSATIONS CAR FULL NECT;22.9796395
8002030138281;GLADE DEO SMILE VAINILLA-FISH;8.944176
8002030138250;GLADE DEO SMILE 8CITR-4BRISA;8.944176
7790520000026;GLADE AUTO FULL MA• DE CAMPO;22.2079075
7501032920142;GLADE AUTO FULL ACQUA ;22.2079075
7790520987167;GLADE AUTO FULL NEUTRALIZDOR;22.2079075
7790520002082;GLADE AUTO FULL F PERFECTION;22.2079075
7790520988355;GLADE AUTO REP VAINILLA;18.70379899
7790520000064;GLADE AUTO REP M CAMPO;18.70379899
7790520986856;GLADE AUTO REP ACQUA;19.8976585
7790520001764;GLADE AUTO REP NEUTRALIZADOR;18.70379899
7790520001771;GLADE AUTO REP ATTRACTION;19.8976585
7790520001740;GLADE AUTO REP FLORAL FRESH;19.8976585
7790520987136;GLADE AUTO REP I LOVE YOU;19.8976585
7790520002112;GLADE AUTO REP FLORAL PERFECTION;18.70379899
7790520004079;GLADE AUTOMATICO FULL MANZANA;85.1502375
7790520004147;GLADE AUTOMATICO REP MANZANA;28.888831
7790520004109;GLADE AUTOMATICO REP ALGOD‡N;28.888831
7790520004093;GLADE AUTOMATICO REP HAW. BRE;28.888831
7790520004086;GLADE AUTOMATICO REP LAVANDA;28.888831
7790520001399;GLADE SENSE SPRAY FULL M CAMPO;56.41229
7790520001412;GLADE SENSE SPRAY REP M CAMPO;21.2762225
7790520001481;GLADE SENSE SPRAY REP LAV y VAIN;21.2762225
7790520001566;GLADE SENSE SPRAY REP FLORAL;21.2762225
7790520001436;GLADE SENSE SPRAY REP LINO FRESCO;21.2762225
7790520989048;LYSOFORM MANUAL INOD.GEL 500ML;8.380218
