BARRAS;PRODUCTO;COSTO;PRECIO
7791337574014;Actimel Entero Pack 600 Gr;11.012;16.8
7791337574021;Actimel Entero Pack 600 Gr;11.012;16.8
7791337574120;Actimel Entero Pack 600 Gr;11.012;16.8
7791337574854;Actimel Entero Pack 600 Gr;11.012;16.8
7791337566026;Actimel 0% Pack 600 Gr;11.012;16.8
7791337566491;Actimel 0% Pack 600 Gr;11.012;16.8
7791337566859;Actimel 0% Pack 600 Gr;11.012;16.8
7791337414853;Actimel Pack 1200 Gr;20.172;29.29
7791337166011;Vidacol Pack 320 Gr;10.875;16.6
7791337166028;Vidacol Pack 320 Gr;10.875;16.6
7791337166851;Vidacol Pack 320 Gr;10.875;16.6
7791337614857;Vidacol Pack x 480Gr;13.567;20.7
7791337222151;Activia Bebible Bot 185G;4.764;7.15
7791337222212;Activia Bebible Bot 185G;4.764;7.15
7791337229761;Activia Sachet 1100Gr;11.13;16.3
7791337229402;Activia Sachet 1100Gr;11.13;16.3
7791337229815;Activia Sachet 1100Gr;11.13;16.3
7791337425026;Activia Batido Entero Pack 500 GR;9.36;14.25
7791337425125;Activia Batido Entero Pack 500 GR;9.36;14.25
7791337425811;Activia Batido Entero Pack 500 GR;9.36;14.25
7791337455818;Activia Sachet 700 Gr;7.54;11
7791337537026;Activia 0% Pack x 4 500Gr;9.36;14.25
7791337537811;Activia 0% Pack x 4 500Gr;9.36;14.25
7791337510296;Activia Fibrabalance Pack 500 Gr;9.36;14.25
7791337371002;Queso Crema Casancrem Pote 300G;10.158;15.5
7791337372009;Queso Blanco Casancrem Diet Pote 300G;10.503;16
77925800;Queso Crema Casancrem Pote 150G;5.991;9.2
77925909;Queso Blanco Casancrem Diet Pote 150G;5.991;9.2
7791337000650;Casancrem Clasico Pote 500 Gr ;15.152;23
7791337000711;Casancrem Light Pote 500 Gr ;15.558;23.7
7793940192005;Leche Sab Cindor Brik 1L;4.312;6.3
7791337892071;Leche Cindor Extra Sabor  1L;8.803;12.9
7791337612075;Copa Cindor pote 100 gr;4.136;6.3
7793940198007;Leche Sab Cindor Brik 250Cm3;5.154;7.9
7791337273061;Postre Danette Pack x 2 230 Gr;6.192;9.5
7791337273078;Postre Danette Pack x 2 230 Gr;6.192;9.5
7791337273900;Postre Danette Pack x 2 230 Gr;6.192;9.5
7791337273467;Postre Danette Pack x 2 230 Gr;6.192;9.5
7791337273344;Postre Danette Pack x 2 230 Gr;6.192;9.5
7791337273962;Postre Danette Pack x 2 230 Gr;6.192;9.5
7791337184015;Flan Danette Vainilla   Pack x 2  230 gr;6.192;9.5
7791337930001;Postre Danette DDL 460 Gr Pack x 4;11.702;17.85
7791337930070;Postre Danette Chocolate 460 Gr Pack x 4;11.702;17.85
77900920;Alim Lacteo Danonino Pack 90 Gr;3.023;4.6
7791337094017;Alim Lacteo Danonino Pack 161 Gr;3.965;6
7791337094024;Alim Lacteo Danonino Pack 161 Gr;3.965;6
7791337430013;Alim Lacteo Danonino Bebible 185 Gr;4.133;6.3
7791337430020;Alim Lacteo Danonino Bebible 185 Gr;4.133;6.3
7791337827028;Alim Lacteo Danonino Bebible Pack 400G;8.467;12.9
7791337943018;Alim Lacteo Danonino Bebible 185 Gr FORTIFICADO;5.693;8.65
7791337943025;Alim Lacteo Danonino Bebible 185 Gr FORTIFICADO;5.693;8.65
7791337982727;Alim Lacteo Danonino Bebible Pack 400G FORTIFICADO;11.007;16.5
7793940102882;Yogur Ser Clas C/Fruta Pote 180 G;5.295;8.05
7791337102033;Yogur Ser Clas C/Fruta Pote 180 G;5.295;8.05
7791337102118;Yogur Ser Clas C/Fruta Pote 180 G;5.295;8.05
7791337102415;Yogur Ser Clas C/Fruta Pote 180 Gr;5.295;8.05
7793940104015;Yogur Ser Clas Desc Firme Pote 195Gr;3.394;5.1
7793940104022;Yogur Ser Clas Desc Firme Pote 195Gr;3.394;5.1
7793940114076;Postre Ser  Pote 125G;1.55;2.35
7793940133299;Yogur Ser C/Cereal Pote 174 Gr;2.035;3.1
7791337231016;Yogur Ser Fort Desc Sachet 1100 Gr;8.257;12.1
7791337231023;Yogur Ser Fort Desc Sachet 1100 Gr;8.257;12.1
7791337303065;Postre Ser Pack 200Gr;5.269;8.05
7791337303072;Postre Ser Pack 200Gr;5.269;8.05
7791337250000;Yogur Ser Libre Bot 185 Gr;1.716;2.59
7791337332027;Yogur Ser Libre Bot 185 Gr;3.971;5.95
7791337332850;Yogur Ser Libre Bot 185 Gr;3.971;5.95
7791337499003;Yogur Ser C/Colchon Frut y Cereal 172Gr;5.295;8.05
7791337833449;Yogur Ser Delicioso  Pack 240 Gr;4.687;7.15
7791337833937;Yogur Ser Delicioso  Pack 240 Gr;4.687;7.15
7791337893078;Postre Ser Pack 400 Gr;9.773;14.9
7791337973015;Yogur Ser Fort Desc Sachet 900 Gr;7.179;10.5
7791337973022;Yogur Ser Fort Desc Sachet 900 Gr;7.179;10.5
7791337973503;Yogur Ser Fort Desc Sachet 900 Gr;7.179;10.5
7791337993235;Yogur Ser C/Cereal Pote 165 Gr;4.464;6.8
7791337703018;Flan Ser Pack 420 Gr;10.138;15.45
7791337115811;Flan Ser Tentacion Pack 210 Gr;5.255;8.05
