BARRAS;PRODUCTO;COSTO
0000077900098;OFF KIDS CREMA X 90;20.124
0000077929778;LYSOFORM x 55 AERO POCKET CLASICO;8.945
0000077931276;OFF REPEL CREMA x 90 Extra Duraciòn;20.124
6001298008123;ZIPLOC MULTI-PACK X9U;8.604
7501032905521;GLADE REFRESH AIR MONTANA      ;21.289
7501032905538;GLADE REFRESH AIR MANANTIAL   ;21.289
7501032905545;GLADE REFRESH AIR CITRICA        ;21.289
7501032905552;GLADE REFRESH AIR MANZANA     ;21.289
7501032920142;GLADE AUTO FULL ACQUA ;31.407
7790463001005;BRILLO PARA LAMPAZOS x 1L;11.929
7790520000026;GLADE AUTO FULL MAÑ DE CAMPO;31.407
7790520000064;GLADE AUTO REP M CAMPO;28.138
7790520000125;BLEM  x  200 CREMA JAZMIN;8.388
7790520000149;BLEM  x  200 CREMA;8.388
7790520000156;BLEM  x  200 CREMA LAVANDA;8.388
7790520000255;GLADE ACEITE REP HARMONY;29.964
7790520000293;GLADE TOQUE FULL HARMONY;15.461
7790520000309;GLADE TOQUE REP HARMONY;10.102
7790520000323;MM MULTIUSO GATILLO x 500;13.570
7790520000330;RAID ESPIRALES VERDE 4x12x4;1.807
7790520000347;RAID ESPIRALES VERDE x 12;5.449
7790520000354;RAID ESPIRALES COUNTRY FRESH x 12 ;6.415
7790520000378;FUYI ESP VERDE EST 4x12x4;2.080
7790520000385;FUYI ESPIRALES VERDE x 12;6.261
7790520000392;FUYI ESP LAVANDA x 12;7.580
7790520000446;LYSOFORM x 360 AERO LAVANDA;15.539
7790520000521;GLADE CNA LIQ  FULL I LOVE YOU;19.306
7790520000538;GLADE CAN.LIQ. REP. I LOVE YOU;16.554
7790520000552;M MUS DISCOS ACTIVOS FULL MARINA;20.731
7790520000576;M MUS DISCOS ACTIVOS RPTO CITRICA;16.646
7790520000590;M MUS DISCOS ACTIVOS RPTO MARINA;16.646
7790520000781;RAID TAB LARGA DUR  X 72;44.056
7790520000798;ZIPLOC POTE HERMETICO 600 x 1;14.971
7790520000804;ZIPLOC POTE HERMETICO 900 x 1;15.600
7790520000835;MM GLADE LIMP LIQ x 4000 LAVANDA;30.244
7790520000842;MM GLADE LIMP LIQ x 4000 HARMONY;30.244
7790520000903;MM GLADE LIMP LIQ x 4000 FLORAL PERFEC;30.244
7790520000910;RAID MATA HORMIGAS AERO;20.114
7790520000927;RAID HORMIGAS LIQUIDO GATILLO;29.136
7790520000934;RAID HORMIGAS LIQUIDO REP;18.209
7790520000941;RAID HORMIGAS POLVO X 250;18.577
7790520000972;GLADE ACEITE REP VAINILLA;29.964
7790520001009;MM GLADE LIMP LIQ x 900 LAVANDA;7.909
7790520001016;MM GLADE LIMP LIQ x 900 PINO;7.909
7790520001023;MM GLADE LIMP LIQ x 900 FLORAL PERF;7.909
7790520001054;MM GLADE LIMP LIQ x 900 HARMONY;7.909
7790520001061;MM GLADE LIMP LIQ x 900 MAÑ DE CAMPO;7.909
7790520001078;MM GLADE LIMP LIQ x 900 I LOVE YOU;7.909
7790520001085;MM GLADE LIMP LIQ x 900 BEBE;7.909
7790520001115;MM GLADE LIMP LIQ x 1800 LAVANDA;14.375
7790520001122;MM GLADE LIMP LIQ x 4000 MAÑ CAMPO;30.244
7790520001139;MM GLADE LIMP LIQ x 1800 PINO;14.375
7790520001146;MM GLADE LIMP LIQ x 1800 FLORAL PERF;14.375
7790520001221;MR MUSCULO CREMA x 450 LAVANDA;9.189
7790520001245;MR MUSCULO CREMA x 450 CITRUS;9.189
7790520001252;MR MUSCULO CREMA x 450 M CAMPO;9.189
7790520001337;OFF AEROSOL PROT. INTENS. X 165;29.141
7790520001344;GLADE TOQUE FULL C DE BEBE;15.461
7790520001368;LYSOFORM PAÑOS x 35u;13.196
7790520001399;GLADE SENSE SPRAY FULL M CAMPO;93.343
7790520001412;GLADE SENSE SPRAY REP M CAMPO;35.205
7790520001436;GLADE SENSE SPRAY REP LINO FRESCO;35.205
7790520001481;GLADE SENSE SPRAY REP LAV y VAIN;35.205
7790520001566;GLADE SENSE SPRAY REP FLORAL;35.205
7790520001598;GLADE ULTRA HARMONY;11.472
7790520001603;OFF REPEL SPRAY STD BP x 200 E DURAC;33.039
7790520001611;GLADE ULTRA MAÑANA DE CAMPO;11.472
7790520001740;GLADE AUTO REP FLORAL FRESH;28.138
7790520001764;GLADE AUTO REP NEUTRALIZADOR;28.138
7790520001771;GLADE AUTO REP ATTRACTION;28.138
7790520001801;GLADE ACEITE REP MANZANA Y CANELA;29.964
7790520001856;GLADE ACEITE REP MIX (SPA+I LOVE Y);29.964
7790520002013;BRISHINE x  250 CREMA;4.938
7790520002044;GLADE SENSATIONS CAR FULL M CA;34.121
7790520002068;GLADE SENSATIONS CAR FULL NECT;34.121
7790520002082;GLADE AUTO FULL F PERFECTION;31.407
7790520002112;GLADE AUTO REP FLORAL PERFECTION;28.138
7790520002136;GLADE SENSATIONS REP FLORAL P;19.404
7790520002150;GLADE GLASS SENSAT FULL FLORAL PE;32.566
7790520002167;GLADE ACEITE FULL FLORAL PERFECTION;36.162
7790520002174;GLADE ACEITE REP FLORAL PERFECTION;29.964
7790520002303;OFF REPEL CREMA x200 ;16.888
7790520002358;GLADE ACEITE REP LAVANDA;29.964
7790520002365;GLADE ACEITE REP MAÑANA DE CAMPO;29.964
7790520002402;OFF REPEL SPRAY STD BP x 200;25.271
7790520002549;M MUS BLOQUE MOCHILA TWIN x 96G;18.494
7790520003355;BLEM PISOS PLASTIFICADOS  DP;10.706
7790520003379;RAID TAB LARGA DUR X  24 FRESCH;15.327
7790520003676;GLADE SENSATIONS REP I LOVE YOU;19.404
7790520004055;GLADE SENSATIONS REP M CAMPO;19.404
7790520004079;GLADE AUTOMATICO FULL MANZANA;126.807
7790520004086;GLADE AUTOMATICO REP LAVANDA;43.023
7790520004093;GLADE AUTOMATICO REP HAW. BRE;43.023
7790520004109;GLADE AUTOMATICO REP ALGODÓN;43.023
7790520004147;GLADE AUTOMATICO REP MANZANA;43.023
7790520004208;GLADE SENSATIONS REP PARAISO AZUL;19.404
7790520004215;GLADE SENSE SPRAY REP PARAISO AZ;35.205
7790520004222;GLADE AUTO REP PARAISO AZUL;28.138
7790520004239;GLADE ACEITE REP PARAISO AZUL;29.964
7790520004307;BLEM  x 235 AERO ELECTRONICX;16.547
7790520004376;RAID 45 NOCHES REPUESTO ;29.456
7790520004383;RAID 45 NOCHES APARATO + REPUES;33.152
7790520004406;FUYI  45 N. APARATO;34.146
7790520004413;FUYI  45 N. REPUESTO;30.339
7790520004437;GLADE TOQUE REP PARAISO AZUL;10.102
7790520004437;GLADE x 360 AERO PARAISO AZUL;8.568
7790520004482;GLADE ESENCIAS FLORAL;20.904
7790520004499;GLADE ESENCIAS PRIMAVERA;20.904
7790520004505;GLADE ESENCIAS BRISA DEL MAR;20.904
7790520004567;GLADE SENSATIONS BAÑO FULL HARMO;29.311
7790520004574;GLADE SENSATIONS BAÑO FULL LAVAN;#VALUE!
7790520004741;FUYI TABLETAS 4x20x16;11.192
7790520004758;FUYI TABLETAS 4X20X28;19.276
7790520005168;MR MUSCULO CREMA x 450 FLORAL P;9.189
7790520005298;MM GLADE LIMP LIQ x 900 PARAI AZUL;7.909
7790520005311;MM GLADE LIMP LIQ x 1800 PARAI AZU;14.375
7790520005588;GLADE X 360 AERO NARANJA Y ESP;0.000
7790520005595;GLADE X 360 AERO CALIDEZ HOGAR;0.000
7790520005618;GLADE TOQUE REP NARANJA Y ESP;10.102
7790520005625;GLADE TOQUE REP CALIDEZ HOGAR;10.102
7790520005632;GLADE ACEITE REP NARANJA Y ESPE;0.000
7790520005649;GLADE ACEITE REP CALIDEZ HOGAR;0.000
7790520005939;M MUS ADHESIVO 30 gr MAÑ CAMPO;6.515
7790520006059;RAID 45 NOCHES ADVANCE FULL "NUEVO";54.013
